syd,symptom
"1","Upper abdominal pain"
"2","Lower abdominal pain"
"3","Abscess (Collection of pus)"
"4","Alcohol abuse"
"5","Anxiety (Nervousness)"
"6","Arm ache or pain"
"7","Back ache or pain"
"8","Bleeding tendency"
"9","Blood in vomit"
"10","Bloody diarrhea"
"11","Pain or soreness of breast"
"12","Calf pain"
"13","Chest pressure"
"14","Chills"
"15","Change in behavior"
"16","Constipation"
"17","Cough"
"18","Dark stools"
"19","Depressed"
"20","Diarrhea"
"21","Dizziness"
"22","Double vision (Diplopia)"
"23","Ear pressure"
"24","Pain in the ear"
"25","Elbow ache or pain"
"26","Eye pain (Irritation)"
"27","Facial pain"
"28","Fainting"
"29","Fever"
"30","Fever in the returning traveler"
"31","Fever of unknown origin"
"32","Flank pain"
"33","Frequent urination (Frequency)"
"34",""
"35","Foot pain"11
"36","Cranky, crying, fussy, irritable child"
"37","Groin pain"
"38","Delusions or hallucinations"
"39","Hand, finger ache or pain"
"40","Head injury"
"41","Headache"
"42","Heel pain"
"43","Heat illness"
"44",""
"45","Hip pain"
"46","Hives"
"47","Hoarse voice"
"48","Hypothermia (Low temperature)"
"49","Incontinence (leaking urine)"
"50","Insect sting"
"51","Insomnia (Trouble sleeping)"
"52","Skin itching"
"53","Joint pain"
"54","Kidney pain (Flank pain)"
"55","Knee pain"
"56","Laceration"
"57","Leg ache or pain"
"58","Swelling of both legs"
"59","Lethargy (Sluggishness)"
"60",""
"61","Mouth pain"
"62","Muscle pain"
"63","Nail Injury"
"64","Nasal bleeding"
"65","Nasal injury"
"66","Nausea"
"67","Neck ache or pain"
"68","Neck swelling"
